custFirstName,custLastName,custPhone,custGender,driverFirstName,driverLastName,driverPhone,driverLicense,driverGender,carModel,carPlate,carColor,carType,carAvailable,startPoint,endPoint,distance,orderStatus,totalPrice,orderDate,reviewRating,reviewComment
"Mariia","Kravchenko","+380738857918","female","Mariia","Sokolova","+380736289029","DL783342","male","Tesla Model 3","BA 6891 CX-22","Silver","Sedan","true","Ternopil, Khmelnitskoho St, 85","Ternopil, Sichovykh Striltsiv St, 63","13.69","CANCELLED","79.86","2026-01-06","5","Smooth ride"
"Ivan","Sokolova","+380817663086","male","Andrii","Oliinyk","+380872900634","DL624286","male","Toyota Camry","AB 9844 HT-23","Orange","SUV","true","Vinnytsia, Bandery St, 90","Vinnytsia, Zelena St, 65","10.49","COMPLETED","66.19","2026-03-08","5","Bad smell in cabin"
"Dmytro","Fedorov","+380963990120","female","Anna","Bondarenko","+380736706467","DL661742","male","Nissan Altima","BC 9600 HT-24","White","Luxury","true","Rivne, Bandery St, 42","Rivne, Vasylkivska St, 149","2.79","CANCELLED","62.16","2026-02-12","2","Very clean car"
"Mariia","Tkachenko","+380669389618","other","Olena","Goncharenko","+380963818739","DL567058","other","Honda Accord","BH 6355 AA-25","Yellow","SUV","true","Kherson, Vasylkivska St, 143","Kherson, Shevchenka St, 24","9.74","SCHEDULED","85.31","2026-03-13","3","Driver was rude"
"Iryna","Tkachenko","+380655238994","male","Andrii","Kushnir","+380846432840","DL499291","female","BMW 5 Series","BC 9003 HT-26","Green","Sedan","true","Kharkiv, Shevchenka St, 132","Kharkiv, Zelena St, 15","3.52","ACCEPTED","81.98","2026-02-25","1","Will ride again"
"Kateryna","Shevchenko","+380774864276","prefer not to say","Mariia","Sokolova","+380726841893","DL836418","other","Mercedes-Benz C-Class","BK 8058 BB-27","Dark Blue","SUV","true","Lviv, Stryiska St, 5","Lviv, Naukova St, 106","11.10","CANCELLED","89.97","2026-01-09","5","Driver was rude"
"Anna","Kovalenko","+380792204158","male","Nataliia","Hrytsenko","+380858321909","DL193710","female","Subaru Legacy","BM 3557 AA-28","Dark Blue","Luxury","true","Lviv, Kulparkivska St, 49","Lviv, Khmelnitskoho St, 37","6.17","REJECTED","32.15","2026-01-03","4","Polite driver"
"Olena","Dovzhenko","+380667990731","male","Ivan","Boyko","+380959861466","DL273660","male","Skoda Octavia","BH 4470 BB-29","Orange","Hatchback","true","Odesa, Naukova St, 123","Odesa, Vasylkivska St, 10","9.96","REJECTED","47.67","2026-03-23","2","Driver was late"
"Kateryna","Melnyk","+380668003124","male","Olena","Goncharenko","+380876758141","DL793608","prefer not to say","Honda Accord","AM 8646 BB-30","Dark Blue","Luxury","true","Vinnytsia, Zelena St, 105","Vinnytsia, Stryiska St, 125","5.58","IN_PROGRESS","73.60","2026-03-06","2","Great trip!"
"Olena","Goncharenko","+380983226452","male","Iryna","Fedorov","+380773657422","DL426273","female","Toyota Camry","AO 6102 HT-31","Dark Blue","SUV","true","Chernivtsi, Naukova St, 60","Chernivtsi, Valova St, 34","1.14","IN_PROGRESS","28.24","2026-03-22","5","Could be better"
"Volodymyr","Hrytsenko","+380666784735","female","Oleksandr","Polishchuk","+380685608562","DL512736","female","Hyundai Sonata","BO 9084 BB-32","Black","Sedan","true","Dnipro, Franka St, 85","Dnipro, Valova St, 12","9.22","CANCELLED","102.86","2026-01-10","1","Amazing experience"
"Andrii","Kravchenko","+380872387804","other","Yevhen","Khmelyov","+380886834814","DL981379","male","Renault Megane","AA 1297 HT-33","Silver","Hatchback","true","Ternopil, Kulparkivska St, 89","Ternopil, Sichovykh Striltsiv St, 11","7.47","PENDING","10.23","2026-01-15","3","Smooth ride"
"Yevhen","Kushnir","+380884864708","female","Iryna","Melnyk","+380897441736","DL289923","female","Mazda 6","AT 7146 HT-34","Black","SUV","true","Dnipro, Sichovykh Striltsiv St, 105","Dnipro, Chornovola Ave, 44","2.36","REJECTED","18.60","2026-02-14","4","Polite driver"
"Yevhen","Khmelyov","+380773747695","male","Serhii","Shevchenko","+380837724932","DL236606","male","Audi A4","AP 4762 CX-35","Yellow","SUV","true","Rivne, Horodotska St, 118","Rivne, Shevchenka St, 47","11.91","ACCEPTED","72.80","2026-03-24","1","Amazing experience"
"Ivan","Melnyk","+380824745334","prefer not to say","Viktor","Oliinyk","+380794010527","DL658451","female","Audi A4","AM 9990 HT-36","Grey","Hatchback","true","Lutsk, Horodotska St, 104","Lutsk, Valova St, 34","10.33","IN_PROGRESS","10.42","2026-03-26","1","Will ride again"
"Yuliia","Lysenko","+380866196415","female","Kateryna","Goncharenko","+380882277476","DL590467","male","Skoda Octavia","AX 1268 AA-37","Black","SUV","true","Kherson, Chornovola Ave, 65","Kherson, Lychakivska St, 10","1.32","ACCEPTED","50.12","2026-03-03","5","Very clean car"
"Alina","Bondarenko","+380943899137","other","Ivan","Khmelyov","+380632836979","DL411538","prefer not to say","Renault Megane","AM 4686 HT-38","Silver","Luxury","true","Lutsk, Franka St, 20","Lutsk, Horodotska St, 8","12.75","ACCEPTED","91.98","2026-03-06","1","Will ride again"
"Nataliia","Fedorov","+380827078648","male","Svitlana","Hrytsenko","+380745943548","DL669286","male","Volkswagen Passat","BC 2721 CX-39","Yellow","SUV","true","Kherson, Stryiska St, 141","Kherson, Sichovykh Striltsiv St, 15","1.06","CANCELLED","27.76","2026-01-12","1","Amazing experience"
"Serhii","Bondarenko","+380921620712","male","Mariia","Zaitsev","+380745089348","DL975043","female","Mercedes-Benz C-Class","AT 9412 HT-40","Red","SUV","true","Lutsk, Khmelnitskoho St, 105","Lutsk, Valova St, 82","11.95","ACCEPTED","89.06","2026-03-19","2","Could be better"
"Volodymyr","Melnyk","+380904273741","male","Mariia","Kovalenko","+380631318896","DL305425","prefer not to say","Mercedes-Benz C-Class","BT 1758 CX-41","Brown","Sedan","false","Zaporizhzhia, Lychakivska St, 57","Zaporizhzhia, Pekarska St, 133","11.21","REJECTED","17.07","2026-02-26","4","Driver was rude"
"Dmytro","Zaitsev","+380633100687","male","Volodymyr","Sokolova","+380643026326","DL752646","male","Volkswagen Passat","BH 9688 AA-42","Green","Luxury","false","Kherson, Horodotska St, 86","Kherson, Naukova St, 5","10.02","PENDING","103.13","2026-01-09","2","Amazing experience"
"Dmytro","Bondarenko","+380958105605","prefer not to say","Pavlo","Kushnir","+380993214930","DL586599","other","Subaru Legacy","AE 7625 II-43","White","SUV","true","Rivne, Shevchenka St, 23","Rivne, Khmelnitskoho St, 35","11.41","ACCEPTED","107.14","2026-02-13","2","Driver was rude"
"Svitlana","Bondarenko","+380731450992","prefer not to say","Yuliia","Kovalenko","+380986796704","DL673276","prefer not to say","Skoda Octavia","BC 2602 AA-44","Black","Hatchback","true","Mykolaiv, Horodotska St, 148","Mykolaiv, Franka St, 97","13.61","ACCEPTED","56.35","2026-02-06","2","Not recommended"
"Alina","Tkachenko","+380777167537","female","Viktor","Dovzhenko","+380697271931","DL929877","female","Audi A4","AX 4402 BB-45","White","Sedan","true","Chernivtsi, Lychakivska St, 94","Chernivtsi, Stryiska St, 71","7.47","PENDING","53.54","2026-02-21","2","Great trip!"
"Oleksandr","Shevchenko","+380994611055","other","Alina","Oliinyk","+380809470139","DL868218","male","Tesla Model 3","AM 4257 BB-46","Grey","Sedan","false","Dnipro, Sichovykh Striltsiv St, 107","Dnipro, Franka St, 124","10.90","ACCEPTED","92.90","2026-03-16","4","Smooth ride"
"Volodymyr","Hrytsenko","+380783494886","prefer not to say","Ivan","Polishchuk","+380665126281","DL578759","prefer not to say","Audi A4","AX 1277 HT-47","White","Sedan","true","Lutsk, Kulparkivska St, 16","Lutsk, Lychakivska St, 139","7.15","REJECTED","42.38","2026-03-20","5","Bad smell in cabin"
"Serhii","Goncharenko","+380995482438","prefer not to say","Dmytro","Oliinyk","+380812481440","DL888861","other","Tesla Model 3","BI 5651 II-48","Dark Blue","Sedan","true","Lviv, Naukova St, 144","Lviv, Pekarska St, 44","1.71","PENDING","59.13","2026-03-10","5","Driver was late"
"Oksana","Fedorov","+380935241137","female","Viktor","Goncharenko","+380753408410","DL604466","other","Mercedes-Benz C-Class","AM 6760 CX-49","Dark Blue","Sedan","false","Vinnytsia, Chornovola Ave, 124","Vinnytsia, Pekarska St, 148","2.81","FAILED","76.68","2026-01-15","1","Polite driver"
"Yuliia","Oliinyk","+380799216359","male","Kateryna","Kushnir","+380639969771","DL332359","prefer not to say","Mazda 6","BI 2811 BB-50","Silver","Luxury","true","Mykolaiv, Naukova St, 92","Mykolaiv, Lychakivska St, 51","8.27","SCHEDULED","30.49","2026-02-21","3","Will ride again"
"Kateryna","Bondarenko","+380841879207","male","Mykola","Goncharenko","+380841883218","DL544893","male","Ford Fusion","BM 4643 BB-51","Silver","Luxury","true","Odesa, Valova St, 130","Odesa, Chornovola Ave, 17","12.68","ACCEPTED","109.89","2026-02-13","4","Amazing experience"
"Oksana","Hrytsenko","+380746984496","female","Iryna","Kovalenko","+380849801077","DL908650","male","Ford Fusion","AE 5150 II-52","Green","SUV","true","Kherson, Stryiska St, 139","Kherson, Kulparkivska St, 126","8.45","REJECTED","73.22","2026-02-06","5","Bad smell in cabin"
"Kateryna","Kovalenko","+380639281309","female","Yuliia","Goncharenko","+380728256528","DL208054","prefer not to say","Skoda Octavia","AE 8673 II-53","Dark Blue","SUV","true","Ternopil, Lychakivska St, 58","Ternopil, Naukova St, 113","11.01","COMPLETED","100.94","2026-02-20","3","Car was uncomfortable"
"Volodymyr","Fedorov","+380746510010","male","Andrii","Sokolova","+380747389945","DL421045","other","Kia Optima","AO 9536 AA-54","Orange","Hatchback","true","Uzhhorod, Chornovola Ave, 149","Uzhhorod, Sichovykh Striltsiv St, 74","12.78","COMPLETED","91.65","2026-03-14","3","Could be better"
"Serhii","Polishchuk","+380845611547","male","Yevhen","Kushnir","+380651024359","DL259681","female","Mazda 6","BE 9218 II-55","Grey","Luxury","true","Lutsk, Horodotska St, 72","Lutsk, Sichovykh Striltsiv St, 42","6.83","FAILED","93.21","2026-02-11","4","Highly recommend"
"Svitlana","Kushnir","+380803122258","female","Volodymyr","Kushnir","+380692335480","DL959706","other","Hyundai Sonata","BT 5282 II-56","Grey","SUV","true","Vinnytsia, Kulparkivska St, 113","Vinnytsia, Naukova St, 141","3.67","CANCELLED","49.32","2026-03-12","2","Highly recommend"
"Oksana","Lysenko","+380943194674","male","Oleksandr","Oliinyk","+380751236026","DL421221","other","Renault Megane","AO 8315 CX-57","Brown","Luxury","true","Kyiv, Khmelnitskoho St, 49","Kyiv, Zelena St, 81","4.22","FAILED","26.23","2026-03-20","3","Driver was late"
"Anna","Lysenko","+380799355622","male","Volodymyr","Marchenko","+380831469671","DL931714","male","Ford Fusion","BM 5284 BB-58","Green","SUV","false","Vinnytsia, Horodotska St, 141","Vinnytsia, Chornovola Ave, 47","7.81","REJECTED","108.56","2026-01-13","3","Great trip!"
"Anna","Oliinyk","+380798292400","male","Mariia","Oliinyk","+380943829215","DL726085","male","Honda Accord","BO 7920 AA-59","Grey","SUV","true","Dnipro, Vasylkivska St, 45","Dnipro, Vasylkivska St, 81","14.25","REJECTED","25.15","2026-03-02","5","Driver was rude"
"Iryna","Shevchenko","+380944866557","male","Pavlo","Oliinyk","+380638919388","DL282418","other","Renault Megane","BI 5220 II-60","Green","Sedan","true","Vinnytsia, Pekarska St, 124","Vinnytsia, Chornovola Ave, 139","1.61","IN_PROGRESS","72.21","2026-02-12","5","Driver was rude"
"Volodymyr","Oliinyk","+380688119996","other","Volodymyr","Oliinyk","+380652013747","DL418956","prefer not to say","Mercedes-Benz C-Class","AX 8313 II-61","Green","Hatchback","true","Kyiv, Horodotska St, 48","Kyiv, Bandery St, 77","13.14","ACCEPTED","95.86","2026-02-14","3","Great trip!"
"Ivan","Zaitsev","+380641515914","male","Serhii","Dovzhenko","+380657235516","DL365554","prefer not to say","Tesla Model 3","AB 3839 CX-62","Yellow","Sedan","true","Lviv, Pekarska St, 143","Lviv, Lychakivska St, 145","5.01","REJECTED","97.28","2026-01-16","4","Bad smell in cabin"
"Olena","Melnyk","+380739863912","other","Andrii","Boyko","+380882566432","DL950849","male","Volkswagen Passat","BK 1002 HT-63","Brown","Sedan","true","Lviv, Horodotska St, 131","Lviv, Zelena St, 103","13.96","PENDING","80.06","2026-02-14","1","Excellent service"
"Mykola","Kovalenko","+380718774906","prefer not to say","Olena","Kushnir","+380942225704","DL115411","other","Nissan Altima","AX 8666 II-64","White","SUV","true","Vinnytsia, Lychakivska St, 126","Vinnytsia, Chornovola Ave, 46","14.38","COMPLETED","31.14","2026-03-20","1","Terrible service"
"Ivan","Zaitsev","+380847452094","other","Anna","Marchenko","+380875101652","DL966891","other","Ford Fusion","AT 3080 BB-65","Yellow","Luxury","false","Kyiv, Lychakivska St, 10","Kyiv, Lychakivska St, 32","1.06","CANCELLED","18.59","2026-02-26","5","Will ride again"
"Oksana","Boyko","+380855276521","prefer not to say","Kateryna","Dovzhenko","+380809524239","DL836821","other","Mazda 6","AX 5592 II-66","Yellow","Hatchback","false","Chernivtsi, Sichovykh Striltsiv St, 141","Chernivtsi, Zelena St, 6","7.64","PENDING","19.32","2026-01-20","5","Car was uncomfortable"
"Yevhen","Bondarenko","+380639631062","male","Pavlo","Sokolova","+380964737760","DL493672","prefer not to say","Audi A4","BK 3088 BB-67","Orange","Luxury","true","Dnipro, Shevchenka St, 29","Dnipro, Valova St, 26","13.72","PENDING","26.74","2026-02-25","1","Amazing experience"
"Serhii","Bondarenko","+380993488437","male","Viktor","Kravchenko","+380773687065","DL702994","male","Ford Fusion","BA 7467 II-68","Dark Blue","Hatchback","false","Chernivtsi, Franka St, 81","Chernivtsi, Sichovykh Striltsiv St, 13","3.28","FAILED","48.80","2026-01-01","4","Will ride again"
"Oksana","Sokolova","+380861208946","male","Serhii","Boyko","+380988759098","DL652678","prefer not to say","Mazda 6","BO 1776 HT-69","Grey","Hatchback","false","Lviv, Vasylkivska St, 148","Lviv, Sichovykh Striltsiv St, 141","15.25","SCHEDULED","11.92","2026-02-02","4","Terrible service"
"Kateryna","Kravchenko","+380927236805","male","Andrii","Melnyk","+380768465205","DL929342","male","Skoda Octavia","BE 9463 CX-70","Yellow","Luxury","true","Kharkiv, Shevchenka St, 22","Kharkiv, Pekarska St, 9","6.76","PENDING","105.91","2026-03-15","5","Great trip!"
"Alina","Shevchenko","+380806640223","male","Iryna","Lysenko","+380777321739","DL442609","prefer not to say","Mazda 6","BC 6208 CX-71","Yellow","Hatchback","false","Kharkiv, Kulparkivska St, 51","Kharkiv, Stryiska St, 12","5.48","COMPLETED","36.80","2026-02-25","1","Excellent service"
"Andrii","Khmelyov","+380837511238","prefer not to say","Volodymyr","Shevchenko","+380964559786","DL752004","female","Audi A4","BA 7953 HT-72","White","SUV","false","Lviv, Horodotska St, 117","Lviv, Shevchenka St, 146","1.78","FAILED","88.11","2026-03-21","3","Smooth ride"
"Pavlo","Shevchenko","+380679438823","female","Alina","Melnyk","+380807760013","DL558905","male","Audi A4","BO 1051 HT-73","Brown","Sedan","false","Ivano-Frankivsk, Pekarska St, 28","Ivano-Frankivsk, Naukova St, 86","2.01","REJECTED","53.59","2026-03-24","5","Could be better"
"Anna","Polishchuk","+380658142758","male","Alina","Kravchenko","+380906430811","DL757138","female","Mazda 6","AT 7420 HT-74","Green","SUV","true","Zaporizhzhia, Kulparkivska St, 142","Zaporizhzhia, Lychakivska St, 54","6.82","PENDING","81.69","2026-03-15","5","Smooth ride"
"Mykola","Khmelyov","+380771212289","other","Nataliia","Bondarenko","+380871000825","DL600297","male","Renault Megane","BT 2803 II-75","Black","Sedan","true","Odesa, Kulparkivska St, 55","Odesa, Lychakivska St, 134","7.10","FAILED","75.46","2026-03-01","3","Could be better"
"Yevhen","Kushnir","+380877376869","other","Volodymyr","Boyko","+380715567868","DL158886","male","Skoda Octavia","BM 2864 AA-76","Yellow","Hatchback","true","Lutsk, Sichovykh Striltsiv St, 117","Lutsk, Pekarska St, 68","4.43","FAILED","91.50","2026-02-04","4","Bad smell in cabin"
"Mariia","Tkachenko","+380913885015","female","Alina","Polishchuk","+380667928362","DL160556","prefer not to say","Kia Optima","AA 6544 AA-77","Dark Blue","Luxury","true","Dnipro, Franka St, 70","Dnipro, Bandery St, 62","14.23","IN_PROGRESS","90.96","2026-01-27","5","Terrible service"
"Olena","Kovalenko","+380693444248","male","Oleksandr","Zaitsev","+380901250632","DL239143","male","Volkswagen Passat","AE 1258 II-78","White","Luxury","false","Ternopil, Lychakivska St, 47","Ternopil, Bandery St, 108","14.95","FAILED","66.86","2026-01-18","1","Driver was rude"
"Olena","Kushnir","+380898078331","male","Yevhen","Dovzhenko","+380921061016","DL642422","male","Mercedes-Benz C-Class","BM 3598 BB-79","Green","Luxury","true","Lviv, Chornovola Ave, 63","Lviv, Lychakivska St, 56","3.72","COMPLETED","32.08","2026-01-01","2","Not recommended"
"Andrii","Goncharenko","+380943480182","female","Yuliia","Dovzhenko","+380764856580","DL483023","female","Mazda 6","BI 8227 HT-80","Green","Hatchback","false","Lviv, Kulparkivska St, 119","Lviv, Valova St, 72","8.20","REJECTED","103.28","2026-02-10","1","Car was uncomfortable"
"Yevhen","Khmelyov","+380768771787","prefer not to say","Olena","Zaitsev","+380881510172","DL810148","male","Toyota Camry","BI 7220 II-81","Brown","Luxury","true","Odesa, Vasylkivska St, 73","Odesa, Pekarska St, 26","1.21","PENDING","79.58","2026-02-26","2","Smooth ride"
"Alina","Fedorov","+380819301704","female","Mykola","Oliinyk","+380906552975","DL340330","male","Toyota Camry","AO 8536 BB-82","Dark Blue","Hatchback","false","Kyiv, Kulparkivska St, 144","Kyiv, Chornovola Ave, 44","12.18","CANCELLED","27.69","2026-01-23","5","Will ride again"
"Mariia","Kravchenko","+380764422517","female","Iryna","Kravchenko","+380682704865","DL752177","male","Ford Fusion","BB 7909 AA-83","Black","SUV","true","Ternopil, Khmelnitskoho St, 36","Ternopil, Pekarska St, 59","1.38","SCHEDULED","58.20","2026-01-18","1","Driver was late"
"Mariia","Melnyk","+380826919024","male","Anna","Hrytsenko","+380711404731","DL384319","male","Subaru Legacy","BH 1954 BB-84","Orange","SUV","true","Kherson, Bandery St, 144","Kherson, Naukova St, 80","9.68","ACCEPTED","76.31","2026-02-13","1","Amazing experience"
"Anna","Dovzhenko","+380917902239","male","Serhii","Hrytsenko","+380759626541","DL165063","female","Tesla Model 3","AE 7269 AA-85","Red","Luxury","true","Vinnytsia, Kulparkivska St, 110","Vinnytsia, Valova St, 94","4.35","SCHEDULED","73.56","2026-02-12","3","Car was uncomfortable"
"Mariia","Oliinyk","+380722864930","other","Olena","Khmelyov","+380808793887","DL667813","female","Hyundai Sonata","BM 6410 BB-86","Green","Sedan","true","Ternopil, Chornovola Ave, 133","Ternopil, Lychakivska St, 65","12.23","SCHEDULED","68.21","2026-02-10","4","Smooth ride"
"Svitlana","Polishchuk","+380685759224","female","Oleksandr","Dovzhenko","+380657434228","DL601183","other","Tesla Model 3","BI 2873 II-87","Yellow","Sedan","true","Lutsk, Naukova St, 51","Lutsk, Shevchenka St, 31","15.88","REJECTED","104.39","2026-03-15","5","Driver was late"
"Volodymyr","Khmelyov","+380764806624","female","Dmytro","Marchenko","+380792231308","DL200872","male","Kia Optima","BC 4158 BB-88","Green","Luxury","true","Vinnytsia, Chornovola Ave, 5","Vinnytsia, Lychakivska St, 45","10.75","FAILED","34.48","2026-02-03","4","Smooth ride"
"Iryna","Zaitsev","+380979328826","prefer not to say","Oleksandr","Kovalenko","+380844413534","DL838916","prefer not to say","Mazda 6","BO 1453 CX-89","Yellow","SUV","false","Vinnytsia, Franka St, 118","Vinnytsia, Kulparkivska St, 20","5.54","IN_PROGRESS","65.15","2026-01-24","4","Could be better"
"Mykola","Sokolova","+380856205459","female","Dmytro","Melnyk","+380774417138","DL699849","male","Kia Optima","BI 3792 AA-90","Dark Blue","Sedan","true","Lviv, Zelena St, 81","Lviv, Kulparkivska St, 141","9.35","REJECTED","86.63","2026-01-27","3","Not recommended"
"Dmytro","Zaitsev","+380851545888","other","Yevhen","Fedorov","+380868409528","DL481179","male","Audi A4","AO 4221 II-91","Yellow","SUV","true","Odesa, Chornovola Ave, 62","Odesa, Sichovykh Striltsiv St, 112","1.10","IN_PROGRESS","37.01","2026-01-17","5","Amazing experience"
"Yuliia","Shevchenko","+380825557211","other","Oleksandr","Shevchenko","+380655886805","DL383981","prefer not to say","Mercedes-Benz C-Class","BK 3535 AA-92","Dark Blue","Luxury","true","Lviv, Sichovykh Striltsiv St, 59","Lviv, Bandery St, 142","3.71","FAILED","69.36","2026-03-27","4","Bad smell in cabin"
"Yuliia","Melnyk","+380823299452","prefer not to say","Volodymyr","Lysenko","+380794694925","DL233580","female","Tesla Model 3","BT 4879 AA-93","Dark Blue","Luxury","true","Vinnytsia, Naukova St, 89","Vinnytsia, Bandery St, 3","8.71","FAILED","107.20","2026-03-08","4","Bad smell in cabin"
